pixel_accuracy,precision,recall,f1_score,iou,gt_pixels,pred_pixels,region_precision,region_recall,region_f1,region_iou,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,filename
0.84141875,1.0,0.08086324159353746,0.14962714704650187,0.08086324159353746,110421,8929,1.0,0.8333333333333334,0.9090909090413223,0.047735786160153164,6,10.0,5,10,IMG_5026.JPG
0.8419984375,1.0,0.0050573129335366755,0.010063730432994938,0.0050573129335366755,101635,514,1.0,0.5,0.6666666666222222,0.006985024325279265,2,1.0,1,1,IMG_5032.JPG
0.994821875,0.0,1.0,0.0,0.0,0,3314,0.0,1.0,0.0,0.0,0,,0,0,DSC03971.JPG
0.9971109375,0.0,0.0,0.0,0.0,1849,0,0.0,0.0,0.0,0.0,1,0.0,0,0,DSC03959.JPG
0.93361875,0.3937435662815967,0.1775949236483698,0.2447825932378142,0.13945998501083676,38768,17486,0.5555555555555556,0.6,0.5769230768731509,0.13139917494871906,5,9.0,3,5,IMG_2013.JPG
0.79205,0.944930184001044,0.05175580921612214,0.09813647760384903,0.05160016817621447,139907,7663,1.0,1.0,0.99999999995,0.04583948052299641,3,5.0,3,5,DSC04011.JPG
0.82444375,0.8003262938457355,0.07421228242690132,0.1358294363770613,0.07286320202003532,118983,11033,0.7272727272727273,0.5,0.5925925925443073,0.0263104953513149,6,11.0,3,8,DSC04005.JPG
0.8182125,0.4145245559038663,0.070167680769775,0.12001936284149699,0.0638407441381419,113072,19140,0.5882352941176471,1.0,0.7407407406941015,0.022895432092698738,3,17.0,3,10,DSC04039.JPG
0.7914453125,0.3658992491977943,0.09406083321320456,0.14965119612652503,0.08087728962952762,124866,32099,0.7222222222222222,1.0,0.8387096773706555,0.007233983786847715,1,18.0,1,13,IMG_4884.JPG
0.9084734375,0.23078813194913692,0.07542359270858427,0.11369172807190087,0.060272082651522445,49812,16279,0.2727272727272727,1.0,0.4285714285377551,0.0477876285665532,2,11.0,2,3,IMG_4890.JPG
0.905634375,0.0,1.0,0.0,0.0,0,60394,0.0,1.0,0.0,0.0,0,,0,0,IMG_4648.JPG
0.8020109375,0.0,1.0,0.0,0.0,0,126713,0.0,1.0,0.0,0.0,0,,0,0,IMG_4660.JPG
0.8201015625,0.0,1.0,0.0,0.0,0,115135,0.0,1.0,0.0,0.0,0,,0,0,IMG_4674.JPG
0.88016875,0.1893172517768684,0.07058313392326594,0.10282866568400365,0.05420104332383736,62267,23215,0.46153846153846156,1.0,0.6315789473252077,0.011698901374522133,1,13.0,1,6,DSC04213.JPG
0.95648125,0.0,0.0,0.0,0.0,22134,5718,0.0,0.0,0.0,0.0,1,4.0,0,0,DSC04207.JPG
0.8549453125,0.1237055141916616,0.22130111712076025,0.15869937560604275,0.08618873719128663,39566,70781,0.3333333333333333,1.0,0.4999999999625,0.14892003594682485,3,12.0,3,4,IMG_4853.JPG
0.705290625,0.7119304747907215,0.1103724985139687,0.19111579994682174,0.10565397162582506,201880,31298,0.7222222222222222,0.3333333333333333,0.45614035083397964,0.009534050867770018,3,18.0,1,13,IMG_4728.JPG
0.754525,0.4100850939916524,0.17363755925144533,0.2439726277899154,0.13893441050571928,145988,61814,0.6521739130434783,1.0,0.7894736841627424,0.011452510998318262,1,23.0,1,15,IMG_2359.JPG
0.775709375,0.46831337325349304,0.13311490291193281,0.2073048164960295,0.11563863081889647,141006,40080,0.7142857142857143,0.42857142857142855,0.5357142856674108,0.07073617686979101,7,7.0,3,5,IMG_4714.JPG
0.7043109375,0.5361648444070648,0.10625387383915039,0.17735968805560748,0.09730920955347475,191993,38048,0.65,0.75,0.6964285713788266,0.02723287011044597,4,20.0,3,13,DSC04398.JPG
0.8785453125,0.4868786146491492,0.18927559587243,0.27258349788038444,0.15779836394170865,76946,29913,0.25,1.0,0.399999999968,0.1415970193582102,2,12.0,2,3,IMG_4700.JPG
0.6564640625,0.4927251953934663,0.22310735084056696,0.3071405836881198,0.18143301252815577,218424,98903,0.875,1.0,0.9333333332835555,0.026427730725137755,2,8.0,2,7,IMG_4933.JPG
0.931609375,1.0,0.059801520814537955,0.11285418946856378,0.059801520814537955,46554,2784,1.0,1.0,0.99999999995,0.029900760407268977,1,2.0,1,2,IMG_4927.JPG
0.8907421875,0.029059064397914766,0.11126482213438735,0.04608269784319878,0.023584773926885804,15180,58123,0.15384615384615385,1.0,0.2666666666435556,0.05455027721513298,1,13.0,1,2,DSC04165.JPG
0.928775,0.45204671463961305,0.08559111925130107,0.14393028846153846,0.07754573417516594,44771,8477,0.7,0.6666666666666666,0.6829268292183224,0.08544921776180718,9,10.0,6,7,IMG_2198.JPG
0.8748046875,0.028092200041160732,0.06527716893157454,0.03928010455510126,0.0200335114905275,25093,58308,0.14285714285714285,1.0,0.249999999978125,0.03263858446578727,1,14.0,1,2,DSC04171.JPG
0.960634375,0.0,0.0,0.0,0.0,12604,12590,0.0,0.0,0.0,0.0,2,6.0,0,0,DSC04159.JPG
0.97999375,0.0,0.0,0.0,0.0,9085,3719,0.0,0.0,0.0,0.0,1,4.0,0,0,DSC04161.JPG
0.9045375,0.721436343852013,0.021418187691810694,0.04160130513898475,0.021242510653295313,61910,1838,0.5,0.3333333333333333,0.39999999995200003,0.02536294256039479,3,2.0,1,1,DSC04149.JPG
0.8954171875,0.29960545783330594,0.20906223114425007,0.246275463666768,0.14042995839112343,52305,36498,0.36363636363636365,0.75,0.48979591832336516,0.14943145209462216,4,11.0,3,4,IMG_2163.JPG
0.7323703125,0.4004842901015828,0.321389639319399,0.35660382319686573,0.216992,147693,118524,0.75,0.3333333333333333,0.46153846149585803,0.07804552297863111,3,4.0,1,3,IMG_4923.JPG
0.85863125,0.10901679195183066,0.11981585761848,0.1141615101433383,0.0605362075052437,48658,53478,0.1111111111111111,0.6666666666666666,0.1904761904517007,0.21078482490013242,3,18.0,2,2,DSC04411.JPG
0.80714375,0.28919727544719587,0.03889388296733873,0.06856634016028496,0.03550023052097741,116805,15709,0.5,0.6666666666666666,0.5714285713795919,0.021430332748327674,3,8.0,2,4,DSC04377.JPG
0.7571,0.27863210456164084,0.10514936074053498,0.15268057644929905,0.082649797594741,133201,50267,0.46153846153846156,0.5,0.47999999995008,0.01695265518268091,2,13.0,1,6,DSC04363.JPG
0.6791640625,0.4765963441693375,0.2016210739614995,0.28336596551110366,0.16507069055954718,201348,85179,1.0,0.3333333333333333,0.4999999999625,0.023324150255734977,3,8.0,1,8,IMG_4937.JPG
0.7031640625,0.0833456177419619,0.11535540618659533,0.09677219974421027,0.05084635676885567,88223,122106,0.7857142857142857,1.0,0.8799999999507201,0.009746093393622795,1,14.0,1,11,DSC04439.JPG
0.7021125,0.0,1.0,0.0,0.0,0,190648,0.0,1.0,0.0,0.0,0,,0,0,IMG_4738.JPG
