filename,image_id,num_gt_boxes,image_width,image_height,tp_iou30,fp_iou30,fn_iou30,detected_boxes_iou30,precision_iou30,recall_iou30,tp_iou50,fp_iou50,fn_iou50,detected_boxes_iou50,precision_iou50,recall_iou50,tp_iou75,fp_iou75,fn_iou75,detected_boxes_iou75,precision_iou75,recall_iou75,avg_iou,pred_regions
IMG_2027_JPG.rf.321c41f4f6f3c6250ac2dc5b37c50aee.jpg,69,3,3456,2592,0,310,3,0,0.0,0.0,0,310,3,0,0.0,0.0,0,310,3,0,0.0,0.0,0.028183396176295592,310
IMG_4819_JPG.rf.d612ab0655dbffc1088b8780f1a6f495.jpg,70,17,3456,2592,0,117,17,0,0.0,0.0,0,117,17,0,0.0,0.0,0,117,17,0,0.0,0.0,0.026881554375762617,117
DSC04216_JPG.rf.2df278714e00c6aff0bd765d5fcb3739.jpg,71,26,4000,3000,0,479,26,0,0.0,0.0,0,479,26,0,0.0,0.0,0,479,26,0,0.0,0.0,0.01604819926346311,479
DSC04208_JPG.rf.d4bf816afae65a9141db645a0ea7c60d.jpg,72,12,4000,3000,0,526,12,0,0.0,0.0,0,526,12,0,0.0,0.0,0,526,12,0,0.0,0.0,0.024391336348285,526
DSC04213_JPG.rf.5b41d3987f7409ca4b4b3da9bc878f93.jpg,73,26,4000,3000,0,615,26,0,0.0,0.0,0,615,26,0,0.0,0.0,0,615,26,0,0.0,0.0,0.011551683963637868,615
IMG_2143_JPG.rf.2e4f56955d58af1c8e4220db05ad16b1.jpg,74,5,3456,2592,0,283,5,0,0.0,0.0,0,283,5,0,0.0,0.0,0,283,5,0,0.0,0.0,0.016728540901810626,283
DSC04080_JPG.rf.e9081627537d7feff052e59025c21d7b.jpg,75,33,4000,3000,0,601,33,0,0.0,0.0,0,601,33,0,0.0,0.0,0,601,33,0,0.0,0.0,0.008539679397765567,601
IMG_4982_JPG.rf.47f4422b8bbbd76bd1f28861553b101f.jpg,76,10,3456,2592,0,281,10,0,0.0,0.0,0,281,10,0,0.0,0.0,0,281,10,0,0.0,0.0,0.019335039386168817,281
DSC04353_JPG.rf.a1fd2b5667a796e26bcef54f13a0ffa3.jpg,77,54,4000,3000,0,1710,54,0,0.0,0.0,0,1710,54,0,0.0,0.0,0,1710,54,0,0.0,0.0,0.004523060774473021,1710
DSC04375_JPG.rf.3b7f1ca7d6113e235cee348109400f19.jpg,78,26,4000,3000,0,552,26,0,0.0,0.0,0,552,26,0,0.0,0.0,0,552,26,0,0.0,0.0,0.005532607039707016,552
DSC04398_JPG.rf.590cbcdbf2df6ccd29109f441e04d4e1.jpg,79,22,4000,3000,0,2143,22,0,0.0,0.0,0,2143,22,0,0.0,0.0,0,2143,22,0,0.0,0.0,0.014158137494777151,2143
